"url","sci_name","common_name","habitat","venom_stat","threat_to_humans","human_uses1","human_uses2","IUCN_red_list_status","physical_characters","model_predictions"
"https://www.fishbase.se/summary/Leucoraja-erinacea.html","Leucoraja erinaceus (Mitchill, 1825)","Little skate","Marine;  demersal; oceanodromous (Ref. 51243); depth range 10 - 914 m (Ref. 106604). Temperate; 49°N -   33°N, 78°W -   59°W (Ref. 55277)","nonvenomous","Harmless","FAO - Publication: search  | FishSource | Sea Around Us","","Least Concern (LC) ; Date assessed: 19 July 2019","Maturity: Lm37.5, range 32 -  43 cm Max length : 62.0 cm TL male/unsexed; (Ref. 106604); max. reported age: 12 years (Ref. 88929)","Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016"
"https://www.fishbase.se/summary/Callorhinchus-milii.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Latimeria-chalumnae.html","Latimeria chalumnae Smith, 1939","Coelacanth","Marine;  demersal; non-migratory; depth range 150 - 700 m (Ref. 38430), usually 180 - 250 m (Ref. 27564). Deep-water; 13°C - 25°C (Ref. 38429); 3°S -   34°S, 25°E -   51°E (Ref. 46167)","nonvenomous","Harmless","Fisheries: of no interest","Threat to humans  
				
				
					  Harmless","Critically Endangered (CR) (A2bcd); Date assessed: 30 June 2000","Maturity: Lm160.0, range 145 -  179 cm Max length : 168 cm TL male/unsexed; (Ref. 30865); 200.0 cm TL (female); max. published weight: 95.0 kg (Ref. 26162); max. reported age: 48 years (Ref. 30865)","Preferred temperature (Ref. 123201): 13.4 - 18.3, mean 15.6 °C (based on 16 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.2539   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01202 (0.00830 - 0.01742), b=3.03 (2.93 - 3.13), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.72 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (K=0.02; tmax=85; tm=40-69; Fec=5).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (90 of 100)."
"https://www.fishbase.se/summary/Neoceratodus-forsteri.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Protopterus-aethiopicus.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Lepidosiren-paradoxa.html","Lepidosiren paradoxa Fitzinger, 1837","South American lungfish","Freshwater;  demersal. Subtropical; 24°C - 28°C (Ref. 2060); 5°N -   35°S","nonvenomous","Harmless","FAO - Publication: search  | FishSource |","Fisheries: subsistence fisheries","Least Concern (LC) ; Date assessed: 21 October 2020","Maturity: Lm ?  range ? - ? cm Max length : 125 cm TL male/unsexed; (Ref. 36887); max. reported age: 8 years (Ref. 274)",""
"https://www.fishbase.se/summary/Xenopus-tropicalis.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Monodelphis-domestica.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Mus-musculus.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Homo-sapiens.html",NA,NA,NA,"nonvenomous",NA,NA,NA,NA,NA,NA
"https://www.fishbase.se/summary/Erpetoichthys-calabaricus.html","Erpetoichthys calabaricus Smith, 1865","Reedfish","Freshwater; brackish;  demersal; pH range: 6.0 - 8.0; dH range: 5 - 19; depth range 0 - ? m (Ref. 557). Tropical; 22°C - 28°C (Ref. 1672)","nonvenomous","Harmless","Fisheries: of no interest; aquarium: commercial","Threat to humans  
				
				
					  Harmless","Near Threatened (NT) (B2a); Date assessed: 07 June 2019","Maturity: Lm31.4  range ? - ? cm Max length : 37.0 cm SL male/unsexed; (Ref. 81628)","Phylogenetic diversity index  (Ref. 82804):  PD50 = 1.0001   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00166 (0.00112 - 0.00246), b=3.02 (2.91 - 3.13), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.40 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (tmax=20; Fec = 264).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (35 of 100)."
