species,habitat,venomous,threat_to_humans,model_predictions,temp_min,temp_max
Pterois-lunulata,Marine;  reef-associated; depth range 132 - 172 m (Ref. 95664). Tropical,venomous,Venomous (Ref. 559),"Preferred temperature (Ref. 123201): 5.7 - 22, mean 18.2 °C (based on 37 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5005   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01023 (0.00448 - 0.02337), b=3.01 (2.81 - 3.21), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.7   ±0.55 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (25 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 46.3 [23.7, 89.1] mg/100g ; Iron = 0.628 [0.333, 1.540] mg/100g ; Protein = 18 [16, 20] % ; Omega3 = 0.219 [0.099, 0.586] g/100g ; Selenium = 39.5 [21.1, 95.8] μg/100g ; VitaminA = 168 [58, 454] μg/100g ; Zinc = 1.14 [0.78, 1.62] mg/100g (wet weight);",5.7,22
Pterois-volitans,"Marine;  reef-associated; depth range 2 - 55 m (Ref. 30874). Tropical; 22°C - 28°C; 43°N -   40°S, 95°E -   130°W (Ref. 55292)",venomous,Venomous (Ref. 1602),"Preferred temperature (Ref. 123201): 22.4 - 29, mean 27.9 °C (based on 756 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5005   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00813 (0.00629 - 0.01050), b=3.09 (3.02 - 3.16), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.4 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (34 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High.",22.4,29
Pterois-antennata,"Marine;  reef-associated; depth range 2 - 86 m (Ref. 95664). Tropical; 42°N -   40°S, 30°E -   137°W",venomous,Venomous (Ref. 4690),"Preferred temperature (Ref. 123201): 24.6 - 29, mean 27.8 °C (based on 900 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5005   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01023 (0.00448 - 0.02337), b=3.01 (2.81 - 3.21), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.59 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High.",24.6,29
Dendrochirus-zebra,"Marine;  reef-associated; depth range 0 - 115 m (Ref. 123552), usually 3 - 60 m (Ref. 30874). Tropical; 30°N -   30°S, 32°E -   163°W",venomous,Venomous (Ref. 4690),"Preferred temperature (Ref. 123201): 24.3 - 29, mean 27.8 °C (based on 1518 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5078   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01023 (0.00448 - 0.02337), b=3.01 (2.81 - 3.21), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.0   ±0.66 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (21 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						High.",24.3,29
Sebastes-umbrosus,"Marine;  demersal; depth range 30 - 119 m (Ref. 2850), usually ? - 70 m (Ref. 2850). Subtropical; 37°N -   25°N, 123°W -   112°W",nonvenomous,Harmless,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Sebastiscus-marmoratus,Marine;  demersal; oceanodromous (Ref. 51243). Tropical,venomous,Venomous (Ref. 57406),"Nutrients  (Ref. 124155):  Calcium = 147 [48, 378] mg/100g ; Iron = 1.3 [0.6, 2.8] mg/100g ; Protein = 17.5 [15.7, 19.3] % ; Omega3 = 0.406 [0.173, 1.105] g/100g ; Selenium = 69.5 [32.9, 184.0] μg/100g ; VitaminA = 34.3 [12.9, 94.7] μg/100g ; Zinc = 1.04 [0.59, 1.59] mg/100g (wet weight);",,
Sebastapistes-strongia,"Marine;  reef-associated; depth range 0 - 37 m (Ref. 90102), usually 0 - 3 m (Ref. 90102). Tropical; 27°N -   26°S",venomous,Venomous (Ref. 2334),"Preferred temperature (Ref. 123201): 25.4 - 29.3, mean 28.4 °C (based on 2793 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5010   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01259 (0.00603 - 0.02627), b=3.03 (2.86 - 3.20), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.8   ±0.7 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 113 [56, 274] mg/100g ; Iron = 0.78 [0.39, 2.03] mg/100g ; Protein = 18.1 [16.2, 20.1] % ; Omega3 = 0.252 [0.104, 0.702] g/100g ; Selenium = 22.5 [10.7, 55.2] μg/100g ; VitaminA = 193 [64, 561] μg/100g ; Zinc = 1.71 [1.14, 2.50] mg/100g (wet weight);",25.4,29.3
Scorpaenopsis-oxycephala,"Marine;  reef-associated; depth range ? - 400 m (Ref. 100719). Tropical; 30°N -   36°S, 24°E -   171°E",venomous,Venomous (Ref. 2334),"Preferred temperature (Ref. 123201): 20.3 - 28.3, mean 26.5 °C (based on 973 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01514 (0.00885 - 0.02590), b=3.11 (2.96 - 3.26), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.9   ±0.63 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (26 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 40.3 [19.1, 89.5] mg/100g ; Iron = 0.523 [0.282, 1.489] mg/100g ; Protein = 18.2 [16.3, 20.2] % ; Omega3 = 0.247 [0.109, 0.685] g/100g ; Selenium = 48.3 [25.0, 121.0] μg/100g ; VitaminA = 110 [38, 316] μg/100g ; Zinc = 1.12 [0.77, 1.62] mg/100g (wet weight);",20.3,28.3
Scorpaena-plumieri,"Marine;  reef-associated; depth range 1 - 70 m (Ref. 126840), usually 5 - 55 m (Ref. 5288). Subtropical; 43°N -   30°S, 98°W -   5°W",venomous,Venomous (Ref. 4690),"Preferred temperature (Ref. 123201): 21.9 - 28, mean 25.6 °C (based on 770 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01514 (0.00974 - 0.02352), b=3.00 (2.87 - 3.13), in cm total length, based on LWR estimates for species & Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.6   ±0.3 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low to moderate vulnerability (35 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Low.",21.9,28
Siniperca-chuatsi,"Freshwater;  benthopelagic; pH range: 7.0 - 7.4; dH range: 2 - 5; depth range 10 - ? m (Ref. 26334). Temperate; 4°C - 22°C (Ref. 2059); 53°N -   34°N, 113°E -   142°E",nonvenomous,Harmless,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01413 (0.01065 - 0.01873), b=3.00 (2.92 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.5   ±0.80 se; based on food items.					

				
					
					
						 Generation time: 7.4 ( na - na) years. Estimated as median ln(3)/K based on 2 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=1-2).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (48 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",4,22
