species,venom_stat(threat_to_humans),habitat,model_predictions,temp_min,temp_max
Synanceia-horrida,venomous,Marine; brackish;  reef-associated; depth range 0 - 40 m (Ref. 90102). Tropical,"Preferred temperature (Ref. 123201): 24.4 - 29, mean 27.9 °C (based on 874 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5312   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01622 (0.00606 - 0.04338), b=3.06 (2.84 - 3.28), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.4   ±0.8 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (44 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 35.7 [17.6, 70.5] mg/100g ; Iron = 0.558 [0.288, 1.280] mg/100g ; Protein = 18.2 [16.6, 19.7] % ; Omega3 = 0.19 [0.08, 0.49] g/100g ; Selenium = 32.4 [16.6, 74.8] μg/100g ; VitaminA = 125 [40, 395] μg/100g ; Zinc = 1.21 [0.84, 1.76] mg/100g (wet weight);",24.4,29
Betta-splendens,nonvenomous,"Freshwater;  benthopelagic; pH range: 6.0 - 8.0; dH range: 5 - 19. Tropical; 24°C - 30°C (Ref. 1672); 22°N -   8°N, 99°E -   107°E","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00977 (0.00367 - 0.02602), b=2.97 (2.74 - 3.20), in cm total length, based on LWR estimates for this Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.3   ±0.41 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  High, minimum population doubling time less than 15 months (tm<1; multiple annual spawning; Fec to 390).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",24,30
Gadus-macrocephalus,nonvenomous,"Marine; brackish;  demersal; oceanodromous (Ref. 51243); depth range 10 - 1280 m (Ref. 50550), usually 100 - 400 m (Ref. 54440). Boreal; 6°C - 9°C (Ref. 11800); 63°N -   31°N, 119°E -   119°W (Ref. 54440)","Preferred temperature (Ref. 123201): 0.5 - 6.4, mean 2.9 °C (based on 495 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.6250   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00724 (0.00626 - 0.00839), b=3.10 (3.06 - 3.14), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.2   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (Musick et al. 2000 (Ref. 36717); tmax=25; tm=3-8; K=0.11-0.27; Fec >1million).					
								
					
						 Prior r = 0.34, 95% CL = 0.22 - 0.51, Based on 7 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate to high vulnerability (50 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (45 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",6,9
Carassius-carassius,nonvenomous,"Freshwater; brackish;  demersal; potamodromous (Ref. 51243); depth range 5 - ? m (Ref. 2163). Temperate; 2°C - 22°C (Ref. 1672); 69°N -   35°N, 10°W -   169°E","Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5156   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01349 (0.01053 - 0.01727), b=3.04 (3.00 - 3.08), in cm total length, based on LWR estimates for this species (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.24 se; based on food items.					

				
					
					
						 Generation time: 3.7 ( na - na) years. Estimated as median ln(3)/K based on 1 growth studies.					
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (tm=2).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Moderate vulnerability (39 of 100).					
								
				
								
				
										
					
											Price category  (Ref. 80766):  						Unknown.",2,22
Centropristis-striata,venomous,Marine;  reef-associated; oceanodromous (Ref. 51243); depth range 1 - ? m (Ref. 9988). Temperate; 45°N -   25°N,"Nutrients  (Ref. 124155):  Calcium = 10.3 [5.8, 21.8] mg/100g ; Iron = 0.206 [0.105, 0.391] mg/100g ; Protein = 18.8 [16.9, 20.6] % ; Omega3 = 0.401 [0.220, 0.718] g/100g ; Selenium = 9.98 [4.95, 22.14] μg/100g ; VitaminA = 60 [17, 246] μg/100g ; Zinc = 0.411 [0.270, 0.632] mg/100g (wet weight);",,
Onychostoma-macrolepis,nonvenomous,Freshwater;  benthopelagic. Subtropical,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Hemibagrus-wyckioides,nonvenomous,Freshwater;  demersal; potamodromous (Ref. 51243). Subtropical,"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01122 (0.00624 - 0.02017), b=2.99 (2.84 - 3.14), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.7   ±0.60 se; based on food items.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Very Low, minimum population doubling time more than 14 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Very high vulnerability (78 of 100).					
								
				
								
				
									
				
					
						Nutrients  (Ref. 124155):  Calcium = 16.8 [3.2, 67.2] mg/100g ; Iron = 0.731 [0.261, 2.245] mg/100g ; Protein = 17.7 [15.6, 19.7] % ; Omega3 = 0.35 [0.13, 0.89] g/100g ; Selenium = 52.7 [20.1, 125.3] μg/100g ; VitaminA = 26.9 [4.8, 146.3] μg/100g ; Zinc = 0.82 [0.55, 1.24] mg/100g (wet weight);",,
Triplophysa-rosa,nonvenomous,Freshwater;  demersal. Subtropical; 13°C -  ? (Ref. 57680),"Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5000   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.00708 (0.00335 - 0.01497), b=3.00 (2.83 - 3.17), in cm total length, based on LWR estimates for this Genus-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  3.1   ±0.4 se; based on size and trophs of closest relatives					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Medium, minimum population doubling time 1.4 - 4.4 years (Preliminary K or Fecundity.).					
								
					
											
				
									
					Fishing Vulnerability  (Ref. 59153):  Low vulnerability (10 of 100).",13,?
Triplophysa-dalaica,nonvenomous,Freshwater;  benthopelagic. Temperate,"Comments & Corrections
			
			
			
			
							
			
			
				
				Back to Search				

				
				Random Species				

				
				Back to Top				
			
			
				Accessed through: Not available
								FishBase mirror site : localhost
							Page last modified by : mrius-barile - 20 July 2016",,
Seriola-aureovittata,nonvenomous,"Marine; brackish;  benthopelagic; depth range 3 - 825 m (Ref. 4517). Subtropical; 18°C - 24°C (Ref. 6390); 55°N -   57°S, 180°W -   180°E","Preferred temperature (Ref. 123201): 9 - 23, mean 14.9 °C (based on 1169 cells).				
				 				
				
					
					Phylogenetic diversity index  (Ref. 82804):  PD50 = 0.5020   [Uniqueness, from 0.5 = low to 2.0 = high].					
					
                
                    					
													Bayesian length-weight: a=0.01862 (0.01003 - 0.03456), b=2.92 (2.75 - 3.09), in cm total length, based on LWR estimates for species & Subfamily-BS (Ref. 93245).						
					
                    				
					
					Trophic level  (Ref. 69278):  4.2   ±0.1 se; based on diet studies.					

				
					
					
											
				



				
										
						Resilience  (Ref. 120179):  Low, minimum population doubling time 4.5 - 14 years (K=0.13; tm=2; tmax=12).					
								
					
						 Prior r = 0.28, 95% CL = 0.16 - 0.49, Based on 5 stock assessments.					
				
									
					Fishing Vulnerability  (Ref. 59153):  High to very high vulnerability (69 of 100).					
								
				
									
					Climate Vulnerability  (Ref. 125649):  Moderate to high vulnerability (50 of 100).					
								
				
										
					
											Price category  (Ref. 80766):  						Low.",18,24
