"","tip_label"
"1","Chrysichthys_cranchii_P02_E05_RG94"
"2","Plotosus_canius_P02_F06_RG60"
"3","Neoniphon_sammara_E01072"
"4","Oligoplites_saurus_E00195"
"5","Enoplosus_armatus_G01287"
"6","Centropristis_striata_E00163"
"7","Scorpaenodes_albaiensis_E00532"
"8","Dendrochirus_zebra_E00897"
"9","Pterois_radiata_E00850"
"10","Pterois_antennata_E00705"
"11","Pterois_miles_E00882"
"12","Scorpaenodes_guamensis_E00870"
"13","Helicolenus_dactylopterus_E00044"
"14","Sebastes_paucispinis_E00354"
"15","Sebastolobus_alascanus_E00417"
"16","Setarches_guentheri_E01035"
"17","Neomerinthe_hemingwayi_E00619"
"18","Pontinus_rathbuni_E00463"
"19","Pontinus_longispinis_E01010"
"20","Iracundus_signifer_E00583"
"21","Sebastapistes_cyanostigma_E00888"
"22","Caracanthus_unipinna_E00558"
"23","Taenianotus_triacanthus_E00866"
"24","Scorpaenopsis_oxycephala_E00581"
"25","Scorpaena_agassizii_E01038"
"26","Scorpaena_brasiliensis_E00759"
"27","Scorpaena_guttata_E00291"
"28","Synanceia_verrucosa_E00867"
"29","Scatophagus_argus_E00051"
"30","Selenotoca_multifasciata_G01483"
"31","Siganus_spinus_N29369"
"32","Siganus_argenteus_E00940"
"33","Siganus_stellatus_G01488"
"34","Siganus_punctatus_E00958"
"35","Siganus_vulpinus_E00090"
"36","Acanthurus_lineatus_E00889"
"37","Paracanthurus_hepatus_E00002"
"38","Naso_lituratus_G01514"
"39","Astroscopus_ygraecum_E01028"
"40","Kathetostoma_albigutta_E01022"
"41","Kathetostoma_averruncus_E00324"
"42","Opsanus_tau_E00040"
